# company number	Partner 1	Partner 2	Partner 3	Partner 4
748	Life Sciences Partners	Alta Partners	Kreos Capital	Quest for Growth
749				
750				
751				
752				
753				
754				
755				
756				
757				
758	PPM Oost NV			
759				
760				
761				
762				
763				
764				
765				
766				
767				
768				
769				
770				
771				
772				
773				
774				
775				
776				
777				
778				
779				
780				
781				
782				
783				
784	Brooklyn Ventures			
785				
786				
787	Theo Hoeksema			
788				
789				
790				
791	Crossbow Ventures	HighCrest Management Group	First Security Van Kasper	Netinvest
792				
793				
794				
795				
796				
797				
798				
799				
800				
801				
802				
803	MSB de Medici			
804	Javest Investment Fund	Startupbootcamp Amsterdam	Erwin van der Veen	
805				
806				
807				
808	Limburg Business Development Fund (LBDF)			
809				
810				
811	Swanbridge Capital			
812				
813				
814				
815				
816				
817				
818				
819	Unicornify Labs	Unicornify		
820				
821	Startupbootcamp Smart City & IoT Amsterdam			
822	EIT Digital Accelerator	Hangar 51	Innovation Industries	Mainport Innovation Fund
823				
824				
825				
826				
827				
828	TA Associates	Enterprise Investors		
829				
830				
831	Startupbootcamp Commerce Amsterdam			
832				
833				
834				
835				
836	Chemelot Ventures	Limburg Business Development Fund (LBDF)		
837	Investormatch	De Investeerders Club	Ekoy Investment Partners	
838	Limburg Business Development Fund (LBDF)			
839				
840				
841				
842	Vostok New Ventures	Real Web		
843	Gradient Ventures	Daniel Gebler	Herman Kienhuis	
844	Johnson & Johnson Innovation â€“ JJDC	OostNL		
845	Debiopharm Group	ING Group	Gilde Healthcare	EASME - EU Executive Agency for SMEs
846				
847	INKEF Capital	Hearst Ventures		
848	Avedon Capital Partners			
849				
850				
851				
852				
853	Startupbootcamp Amsterdam			
854				
855				
856				
857				
858				
859				
860				
861	Startupbootcamp Smart City & IoT Amsterdam			
862	Fundamental Labs	Connect Capital	Kosmos Capital	
863				
864				
865				
866				
867	Startupbootcamp Commerce Amsterdam			
868				
869				
870	Startup Sesame			
871				
872				
873				
874				
875				
876	Startupbootcamp Amsterdam			
877				
878				
879				
880				
881	Cristina Stenbeck	Susanna Campbell		
882				
883				
884	Chemelot Ventures	Limburg Business Development Fund (LBDF)		
885	Portugal Ventures			
886				
887				
888				
889				
890	DOEN Participaties	ifund foundation		
891				
892				
893				
894	Marc van der Chijs	James Olden		
895	Rancilio Cube	Boost Heroes	Euan Lonmon	
896				
897	Kennet Partners	Dresdner Kleinwort	NeSBIC CTe Fund	
898				
899	Startupbootcamp Commerce Amsterdam			
900				
901				
902				
903				
904				
905				
906				
907				
908				
909	Nick Stals			
910				
911				
912	Startupbootcamp Smart Materials			
913				
914	Startupbootcamp Smart City & IoT Amsterdam			
915				
916				
917				
918				
919				
920				
921				
922	Erwin van der Veen	Peer Goudsmit		
923	UNIIQ			
924				
925				
926				
927	Technogym Wellness Accelerator	FINODEX Accelerator		
928				
929				
930				
931				
932				
933	NV Industriebank LIOF	Nedermaas Hightech Ventures		
934				
935				
936				
937				
938				
939	ING Innovation Studio			
940				
941				
942				
943				
944				
945	T-Online	Weltbild	NPM Capital	
946				
947				
948				
949				
950				
951	Javest Investment Fund	Startupbootcamp Amsterdam	Techinvest	Hans Veldhuizen
